Soil Moisture,Temperature,Air Humidity,Pump Data
683.8029058,29.18490786,71.78969946,0
408.5715671,33.70720471,77.97739053,1
659.0920744,24.76031105,60.77628206,1
842.929764,32.73851507,59.32354345,0
414.1993203,25.69274449,66.62491413,1
487.5212262,33.80680929,47.77469251,1
820.8567329,32.65949511,40.31759197,0
726.5048072,38.08393948,50.91595054,0
939.9159784,35.43074707,60.82272131,0
356.8913104,22.59447703,77.89861807,1
816.8858486,29.11025263,77.05742236,0
580.6395043,24.0014384,40.66397833,1
343.5821256,23.62404301,81.25390177,1
612.9542349,34.93016874,70.08273855,1
550.3096529,36.05535467,64.95732428,1
530.7001898,30.65249738,44.64276776,1
631.0901257,30.66098124,45.14644997,1
